1646508273 1857916052 {'positive': 1, 'negative': 0, 'total': 2}
1820061155 2692988203 {'positive': 1, 'negative': 0, 'total': 59}
1690947397 2692988203 {'positive': 0, 'negative': 1, 'total': 11}
1648547144 1497816467 {'positive': 1, 'negative': 0, 'total': 23}
1648562377 1497816467 {'positive': 0, 'negative': 1, 'total': 49}
1654716241 1497816467 {'positive': 1, 'negative': 0, 'total': 106}
1690996037 1497816467 {'positive': 1, 'negative': 0, 'total': 15}
1648748542 1035547072 {'positive': 1, 'negative': 0, 'total': 27}
1654780317 1035547072 {'positive': 1, 'negative': 0, 'total': 45}
1654667045 1035547072 {'positive': 1, 'negative': 0, 'total': 126}
1654736305 1035547072 {'positive': 1, 'negative': 0, 'total': 51}
1819914640 1035547072 {'positive': 0, 'negative': 1, 'total': 21}
1688945897 1035547072 {'positive': 2, 'negative': 0, 'total': 34}
1689108960 1035547072 {'positive': 1, 'negative': 0, 'total': 21}
1808054064 1657202307 {'positive': 1, 'negative': 0, 'total': 2}
1648612545 1687429295 {'positive': 1, 'negative': 0, 'total': 24}
1648684190 1687429295 {'positive': 1, 'negative': 0, 'total': 10}
1648498003 1687429295 {'positive': 1, 'negative': 0, 'total': 4}
1819033230 1687429295 {'positive': 0, 'negative': 1, 'total': 9}
1654792913 1687429295 {'positive': 1, 'negative': 0, 'total': 88}
1819049853 1687429295 {'positive': 1, 'negative': 0, 'total': 10}
1819069572 1687429295 {'positive': 1, 'negative': 0, 'total': 71}
1654792854 1687429295 {'positive': 1, 'negative': 0, 'total': 39}
1690636492 1687429295 {'positive': 1, 'negative': 0, 'total': 31}
1690928090 1687429295 {'positive': 1, 'negative': 0, 'total': 27}
1689184545 1687429295 {'positive': 1, 'negative': 0, 'total': 16}
1690938420 1687429295 {'positive': 1, 'negative': 0, 'total': 12}
1690982250 1687429295 {'positive': 1, 'negative': 0, 'total': 24}
1692777131 1687429295 {'positive': 1, 'negative': 0, 'total': 8}
1648399391 1216766752 {'positive': 0, 'negative': 1, 'total': 9}
1820054704 1216766752 {'positive': 1, 'negative': 1, 'total': 121}
1819021692 1216766752 {'positive': 0, 'negative': 1, 'total': 6}
1654664441 1216766752 {'positive': 0, 'negative': 1, 'total': 56}
1819935102 1216766752 {'positive': 0, 'negative': 1, 'total': 42}
1819928980 1216766752 {'positive': 1, 'negative': 2, 'total': 54}
1654686192 1216766752 {'positive': 1, 'negative': 0, 'total': 143}
1820023830 1216766752 {'positive': 1, 'negative': 2, 'total': 109}
1819984631 1216766752 {'positive': 1, 'negative': 0, 'total': 87}
1819887711 1216766752 {'positive': 0, 'negative': 1, 'total': 48}
1819941633 1216766752 {'positive': 1, 'negative': 0, 'total': 150}
1654797663 1216766752 {'positive': 1, 'negative': 1, 'total': 69}
1819065637 1216766752 {'positive': 0, 'negative': 1, 'total': 42}
1819051837 1216766752 {'positive': 1, 'negative': 0, 'total': 109}
1819049777 1216766752 {'positive': 1, 'negative': 2, 'total': 86}
1654679570 1216766752 {'positive': 0, 'negative': 2, 'total': 62}
1654716241 1216766752 {'positive': 1, 'negative': 0, 'total': 106}
1654764185 1216766752 {'positive': 1, 'negative': 0, 'total': 91}
1654736681 1216766752 {'positive': 0, 'negative': 1, 'total': 36}
1654811707 1216766752 {'positive': 1, 'negative': 0, 'total': 68}
1654676623 1216766752 {'positive': 1, 'negative': 0, 'total': 316}
1654791141 1216766752 {'positive': 1, 'negative': 0, 'total': 38}
1820039981 1216766752 {'positive': 0, 'negative': 1, 'total': 67}
1819891703 1216766752 {'positive': 1, 'negative': 0, 'total': 45}
1689176967 1216766752 {'positive': 1, 'negative': 0, 'total': 18}
1648659961 2433806050 {'positive': 1, 'negative': 0, 'total': 3}
1819018471 2433806050 {'positive': 1, 'negative': 0, 'total': 35}
1808026660 1567642010 {'positive': 1, 'negative': 1, 'total': 8}
1819040361 1567642010 {'positive': 1, 'negative': 0, 'total': 55}
1819982897 1567642010 {'positive': 0, 'negative': 1, 'total': 81}
1654624383 1567642010 {'positive': 1, 'negative': 0, 'total': 55}
1654793181 1567642010 {'positive': 1, 'negative': 0, 'total': 83}
1820044605 1567642010 {'positive': 0, 'negative': 1, 'total': 103}
1654887133 1567642010 {'positive': 1, 'negative': 0, 'total': 33}
1654811311 1567642010 {'positive': 0, 'negative': 1, 'total': 58}
1654762175 1567642010 {'positive': 1, 'negative': 0, 'total': 83}
1654784761 1567642010 {'positive': 1, 'negative': 0, 'total': 107}
1820002303 1567642010 {'positive': 1, 'negative': 0, 'total': 48}
1654686192 1567642010 {'positive': 0, 'negative': 1, 'total': 143}
1654679570 1567642010 {'positive': 0, 'negative': 2, 'total': 62}
1819972953 1567642010 {'positive': 0, 'negative': 1, 'total': 12}
1654803503 1567642010 {'positive': 1, 'negative': 0, 'total': 54}
1820039981 1567642010 {'positive': 1, 'negative': 0, 'total': 67}
1820023830 1567642010 {'positive': 1, 'negative': 0, 'total': 109}
1692853925 1567642010 {'positive': 1, 'negative': 0, 'total': 14}
1808833874 2165618650 {'positive': 2, 'negative': 0, 'total': 51}
1819953807 2165618650 {'positive': 1, 'negative': 0, 'total': 80}
1819999127 2165618650 {'positive': 0, 'negative': 1, 'total': 64}
1654782014 2165618650 {'positive': 1, 'negative': 0, 'total': 69}
1808033232 1644088831 {'positive': 0, 'negative': 1, 'total': 6}
1656261987 1644088831 {'positive': 1, 'negative': 0, 'total': 45}
1654793254 1644088831 {'positive': 0, 'negative': 1, 'total': 190}
1820054452 1644088831 {'positive': 1, 'negative': 0, 'total': 76}
1690774133 1644088831 {'positive': 0, 'negative': 1, 'total': 12}
1689172933 1644088831 {'positive': 0, 'negative': 1, 'total': 23}
1807921742 1737637050 {'positive': 1, 'negative': 0, 'total': 5}
1690758054 1737637050 {'positive': 1, 'negative': 0, 'total': 18}
1808004290 1413304027 {'positive': 1, 'negative': 0, 'total': 22}
1819959473 1413304027 {'positive': 0, 'negative': 1, 'total': 34}
1819990453 1413304027 {'positive': 1, 'negative': 0, 'total': 68}
1654627495 1413304027 {'positive': 2, 'negative': 0, 'total': 26}
1654703771 1413304027 {'positive': 1, 'negative': 0, 'total': 7}
1654658484 1413304027 {'positive': 1, 'negative': 0, 'total': 45}
1691019664 1413304027 {'positive': 0, 'negative': 1, 'total': 31}
1691050604 1413304027 {'positive': 0, 'negative': 1, 'total': 12}
1648736293 1746902122 {'positive': 0, 'negative': 1, 'total': 4}
1648741063 2837204885 {'positive': 1, 'negative': 0, 'total': 30}
1807998083 2686500553 {'positive': 1, 'negative': 0, 'total': 38}
1808803763 2686500553 {'positive': 1, 'negative': 0, 'total': 5}
1654799211 2686500553 {'positive': 1, 'negative': 0, 'total': 88}
1648760414 1712686623 {'positive': 2, 'negative': 0, 'total': 24}
1648418507 1712686623 {'positive': 1, 'negative': 0, 'total': 62}
1648422631 1712686623 {'positive': 1, 'negative': 0, 'total': 32}
1819970811 1712686623 {'positive': 1, 'negative': 0, 'total': 25}
1819943403 1712686623 {'positive': 0, 'negative': 1, 'total': 65}
1688962770 1712686623 {'positive': 0, 'negative': 1, 'total': 3}
1688998482 1712686623 {'positive': 2, 'negative': 1, 'total': 8}
1692776317 1712686623 {'positive': 1, 'negative': 0, 'total': 10}
1808049742 1904228041 {'positive': 1, 'negative': 1, 'total': 13}
1648446011 1904228041 {'positive': 1, 'negative': 0, 'total': 9}
1648761675 1904228041 {'positive': 1, 'negative': 0, 'total': 27}
1819008463 1904228041 {'positive': 1, 'negative': 0, 'total': 30}
1656260745 1904228041 {'positive': 1, 'negative': 1, 'total': 25}
1819982515 1904228041 {'positive': 2, 'negative': 0, 'total': 36}
1654837130 1904228041 {'positive': 0, 'negative': 1, 'total': 53}
1820056307 1904228041 {'positive': 1, 'negative': 0, 'total': 71}
1654741464 1904228041 {'positive': 0, 'negative': 1, 'total': 117}
1820007567 1904228041 {'positive': 0, 'negative': 1, 'total': 56}
1690706170 1904228041 {'positive': 1, 'negative': 0, 'total': 10}
1807948524 2170991220 {'positive': 1, 'negative': 0, 'total': 10}
1648545565 2170991220 {'positive': 1, 'negative': 0, 'total': 19}
1648680322 2170991220 {'positive': 1, 'negative': 0, 'total': 9}
1819135397 2170991220 {'positive': 1, 'negative': 0, 'total': 32}
1819958681 2170991220 {'positive': 1, 'negative': 0, 'total': 104}
1819968260 2170991220 {'positive': 1, 'negative': 0, 'total': 27}
1654784075 2170991220 {'positive': 1, 'negative': 0, 'total': 55}
1689044040 2170991220 {'positive': 1, 'negative': 0, 'total': 45}
1689144834 2170991220 {'positive': 1, 'negative': 0, 'total': 18}
1690928090 2170991220 {'positive': 1, 'negative': 0, 'total': 27}
1690975193 2170991220 {'positive': 1, 'negative': 0, 'total': 14}
1692752152 2170991220 {'positive': 1, 'negative': 0, 'total': 7}
1648760414 2595241694 {'positive': 1, 'negative': 0, 'total': 24}
1819988057 2595241694 {'positive': 1, 'negative': 0, 'total': 38}
1648481024 1907707423 {'positive': 1, 'negative': 0, 'total': 31}
1808810320 1749732020 {'positive': 1, 'negative': 0, 'total': 25}
1807924895 1934894561 {'positive': 1, 'negative': 0, 'total': 27}
1648496407 1934894561 {'positive': 1, 'negative': 0, 'total': 26}
1819049777 1934894561 {'positive': 1, 'negative': 0, 'total': 86}
1654717777 1934894561 {'positive': 1, 'negative': 0, 'total': 112}
1654785970 1934894561 {'positive': 1, 'negative': 0, 'total': 63}
1654845823 1934894561 {'positive': 1, 'negative': 0, 'total': 79}
1654759703 1934894561 {'positive': 0, 'negative': 1, 'total': 125}
1654686192 1934894561 {'positive': 1, 'negative': 0, 'total': 143}
1654784075 1934894561 {'positive': 1, 'negative': 0, 'total': 55}
1820042092 1934894561 {'positive': 0, 'negative': 1, 'total': 86}
1690930791 1934894561 {'positive': 1, 'negative': 0, 'total': 35}
1690981355 1934894561 {'positive': 1, 'negative': 0, 'total': 10}
1648445175 1740419195 {'positive': 1, 'negative': 0, 'total': 44}
1807937250 1853946117 {'positive': 1, 'negative': 1, 'total': 20}
1654686192 1853946117 {'positive': 1, 'negative': 0, 'total': 143}
1654750175 1853946117 {'positive': 1, 'negative': 0, 'total': 26}
1654758100 1853946117 {'positive': 1, 'negative': 1, 'total': 69}
1820015641 1853946117 {'positive': 1, 'negative': 0, 'total': 58}
1654804993 1853946117 {'positive': 1, 'negative': 0, 'total': 72}
1654695707 1853946117 {'positive': 1, 'negative': 0, 'total': 73}
1690965741 1853946117 {'positive': 1, 'negative': 0, 'total': 2}
1648732830 2606919782 {'positive': 1, 'negative': 0, 'total': 10}
1648449780 1902925533 {'positive': 1, 'negative': 0, 'total': 15}
1648577035 1696489155 {'positive': 1, 'negative': 0, 'total': 6}
1648541970 1563993621 {'positive': 0, 'negative': 1, 'total': 31}
1648582717 1563993621 {'positive': 1, 'negative': 0, 'total': 24}
1648773122 1563993621 {'positive': 0, 'negative': 1, 'total': 13}
1654762133 1563993621 {'positive': 1, 'negative': 0, 'total': 53}
1689125582 1563993621 {'positive': 1, 'negative': 0, 'total': 28}
1689168474 1563993621 {'positive': 0, 'negative': 1, 'total': 8}
1690636193 1563993621 {'positive': 1, 'negative': 0, 'total': 9}
1690676890 1563993621 {'positive': 1, 'negative': 0, 'total': 18}
1690956375 1563993621 {'positive': 1, 'negative': 0, 'total': 17}
1808020510 1466130855 {'positive': 1, 'negative': 0, 'total': 20}
1819052297 1466130855 {'positive': 0, 'negative': 1, 'total': 72}
1820060305 1466130855 {'positive': 1, 'negative': 0, 'total': 93}
1648440513 1685367153 {'positive': 0, 'negative': 1, 'total': 36}
1654786884 1685367153 {'positive': 1, 'negative': 0, 'total': 57}
1654650887 1685367153 {'positive': 0, 'negative': 1, 'total': 19}
1819109893 1685367153 {'positive': 1, 'negative': 0, 'total': 35}
1692759345 1685367153 {'positive': 2, 'negative': 0, 'total': 14}
1690767444 1685367153 {'positive': 1, 'negative': 0, 'total': 17}
1807943222 2255908822 {'positive': 1, 'negative': 0, 'total': 14}
1689103610 2255908822 {'positive': 1, 'negative': 0, 'total': 5}
1689143952 2255908822 {'positive': 1, 'negative': 0, 'total': 23}
1692808573 2255908822 {'positive': 1, 'negative': 0, 'total': 1}
1807926487 1679968585 {'positive': 1, 'negative': 0, 'total': 29}
1648608662 1679968585 {'positive': 0, 'negative': 1, 'total': 6}
1808786340 1679968585 {'positive': 1, 'negative': 0, 'total': 13}
1648782540 1679968585 {'positive': 1, 'negative': 0, 'total': 17}
1819059043 1679968585 {'positive': 1, 'negative': 0, 'total': 69}
1820017485 1679968585 {'positive': 1, 'negative': 0, 'total': 38}
1648558983 2741351650 {'positive': 1, 'negative': 0, 'total': 46}
1690735973 2741351650 {'positive': 0, 'negative': 1, 'total': 14}
1808769244 1376420267 {'positive': 1, 'negative': 0, 'total': 28}
1807992530 1233617290 {'positive': 1, 'negative': 0, 'total': 37}
1648607487 1233617290 {'positive': 1, 'negative': 0, 'total': 17}
1648761675 1233617290 {'positive': 1, 'negative': 0, 'total': 27}
1648771577 1233617290 {'positive': 1, 'negative': 0, 'total': 23}
1819995901 1233617290 {'positive': 1, 'negative': 0, 'total': 14}
1654793254 1233617290 {'positive': 1, 'negative': 0, 'total': 190}
1654618572 1233617290 {'positive': 1, 'negative': 0, 'total': 18}
1819059043 1233617290 {'positive': 1, 'negative': 0, 'total': 69}
1654777453 1233617290 {'positive': 1, 'negative': 0, 'total': 60}
1654801800 1233617290 {'positive': 1, 'negative': 0, 'total': 19}
1654878625 1233617290 {'positive': 1, 'negative': 0, 'total': 30}
1648725487 1644114654 {'positive': 1, 'negative': 0, 'total': 36}
1819974345 1644114654 {'positive': 1, 'negative': 0, 'total': 54}
1819025681 1644114654 {'positive': 1, 'negative': 0, 'total': 82}
1654626781 1644114654 {'positive': 1, 'negative': 0, 'total': 23}
1819945431 1644114654 {'positive': 0, 'negative': 1, 'total': 91}
1654853705 1644114654 {'positive': 1, 'negative': 0, 'total': 30}
1654849555 1644114654 {'positive': 1, 'negative': 0, 'total': 133}
1654715720 1644114654 {'positive': 0, 'negative': 1, 'total': 85}
1654764185 1644114654 {'positive': 1, 'negative': 0, 'total': 91}
1819905820 1644114654 {'positive': 1, 'negative': 0, 'total': 45}
1654676623 1644114654 {'positive': 1, 'negative': 0, 'total': 316}
1819999305 1644114654 {'positive': 1, 'negative': 0, 'total': 41}
1654703407 1644114654 {'positive': 1, 'negative': 0, 'total': 115}
1654803584 1644114654 {'positive': 1, 'negative': 0, 'total': 29}
1654716241 1644114654 {'positive': 0, 'negative': 1, 'total': 106}
1820025795 1644114654 {'positive': 1, 'negative': 0, 'total': 111}
1820024533 1644114654 {'positive': 1, 'negative': 0, 'total': 74}
1820054704 1644114654 {'positive': 1, 'negative': 0, 'total': 121}
1654777605 1644114654 {'positive': 0, 'negative': 1, 'total': 71}
1654799492 1644114654 {'positive': 1, 'negative': 0, 'total': 85}
1689104043 1644114654 {'positive': 0, 'negative': 1, 'total': 42}
1689034677 1644114654 {'positive': 1, 'negative': 0, 'total': 8}
1690735973 1644114654 {'positive': 1, 'negative': 0, 'total': 14}
1692844940 1644114654 {'positive': 1, 'negative': 0, 'total': 32}
1808070451 1559542863 {'positive': 0, 'negative': 1, 'total': 21}
1648565697 1866519690 {'positive': 1, 'negative': 0, 'total': 3}
1654651224 1866519690 {'positive': 1, 'negative': 0, 'total': 42}
1808801310 2166429772 {'positive': 0, 'negative': 1, 'total': 26}
1654759521 2166429772 {'positive': 1, 'negative': 0, 'total': 45}
1819917327 2166429772 {'positive': 1, 'negative': 0, 'total': 27}
1654777605 2166429772 {'positive': 1, 'negative': 0, 'total': 71}
1808017230 2093808654 {'positive': 1, 'negative': 0, 'total': 22}
1648722595 1913227577 {'positive': 1, 'negative': 0, 'total': 10}
1648481024 1400158657 {'positive': 1, 'negative': 0, 'total': 31}
1648737851 1400158657 {'positive': 1, 'negative': 0, 'total': 22}
1648761585 1400158657 {'positive': 1, 'negative': 0, 'total': 26}
1654728350 1400158657 {'positive': 1, 'negative': 0, 'total': 91}
1654832715 1400158657 {'positive': 1, 'negative': 0, 'total': 46}
1820042661 1400158657 {'positive': 0, 'negative': 1, 'total': 45}
1690660144 1400158657 {'positive': 1, 'negative': 0, 'total': 35}
1691027607 1400158657 {'positive': 1, 'negative': 0, 'total': 23}
1648660883 1667085945 {'positive': 1, 'negative': 0, 'total': 14}
1808043911 2461535184 {'positive': 1, 'negative': 0, 'total': 32}
1654846235 2461535184 {'positive': 1, 'negative': 0, 'total': 49}
1819083083 2461535184 {'positive': 1, 'negative': 0, 'total': 30}
1654676815 2461535184 {'positive': 1, 'negative': 0, 'total': 178}
1819989081 2461535184 {'positive': 0, 'negative': 1, 'total': 53}
1820053117 2461535184 {'positive': 1, 'negative': 0, 'total': 16}
1654702795 2461535184 {'positive': 0, 'negative': 1, 'total': 34}
1654786714 2461535184 {'positive': 2, 'negative': 0, 'total': 41}
1654815521 2461535184 {'positive': 1, 'negative': 0, 'total': 36}
1819975811 2461535184 {'positive': 1, 'negative': 0, 'total': 106}
1689066070 2461535184 {'positive': 1, 'negative': 0, 'total': 75}
1689051633 2461535184 {'positive': 1, 'negative': 0, 'total': 30}
1690935502 2461535184 {'positive': 1, 'negative': 0, 'total': 24}
1691050855 2461535184 {'positive': 1, 'negative': 0, 'total': 13}
1808771715 1404798063 {'positive': 1, 'negative': 0, 'total': 10}
1691028764 1404798063 {'positive': 1, 'negative': 0, 'total': 18}
1648607135 3020384591 {'positive': 0, 'negative': 1, 'total': 12}
1808025842 1678215552 {'positive': 1, 'negative': 0, 'total': 9}
1808032831 1678215552 {'positive': 0, 'negative': 1, 'total': 36}
1808800654 1678215552 {'positive': 1, 'negative': 0, 'total': 1}
1654677412 1678215552 {'positive': 0, 'negative': 1, 'total': 18}
1654752931 1678215552 {'positive': 0, 'negative': 1, 'total': 50}
1654796774 1678215552 {'positive': 0, 'negative': 1, 'total': 71}
1654797663 1678215552 {'positive': 0, 'negative': 1, 'total': 69}
1819999015 1678215552 {'positive': 1, 'negative': 0, 'total': 18}
1654863421 1678215552 {'positive': 0, 'negative': 1, 'total': 58}
1689104043 1678215552 {'positive': 1, 'negative': 0, 'total': 42}
1690696460 1678215552 {'positive': 0, 'negative': 1, 'total': 37}
1690771682 1678215552 {'positive': 0, 'negative': 1, 'total': 7}
1690931355 1678215552 {'positive': 0, 'negative': 1, 'total': 26}
1691060090 1678215552 {'positive': 1, 'negative': 0, 'total': 14}
1692751527 1678215552 {'positive': 2, 'negative': 1, 'total': 11}
1692862217 1678215552 {'positive': 1, 'negative': 0, 'total': 12}
1648577011 1694061470 {'positive': 0, 'negative': 1, 'total': 8}
1820011801 1694061470 {'positive': 1, 'negative': 0, 'total': 53}
1819955390 1694061470 {'positive': 0, 'negative': 1, 'total': 88}
1807992530 1852797862 {'positive': 3, 'negative': 0, 'total': 37}
1807956540 2464189820 {'positive': 5, 'negative': 0, 'total': 20}
1648638123 1920148007 {'positive': 1, 'negative': 0, 'total': 22}
1820009841 1920148007 {'positive': 0, 'negative': 1, 'total': 33}
1648490543 1760369714 {'positive': 1, 'negative': 0, 'total': 19}
1819152597 1760369714 {'positive': 0, 'negative': 1, 'total': 107}
1819939953 1760369714 {'positive': 1, 'negative': 0, 'total': 14}
1648476880 2370022990 {'positive': 1, 'negative': 0, 'total': 45}
1819145124 2370022990 {'positive': 1, 'negative': 0, 'total': 43}
1808030583 2127205144 {'positive': 1, 'negative': 0, 'total': 21}
1819050347 2127205144 {'positive': 1, 'negative': 0, 'total': 26}
1654671683 2127205144 {'positive': 1, 'negative': 0, 'total': 64}
1820010441 2127205144 {'positive': 0, 'negative': 1, 'total': 61}
1654785632 2127205144 {'positive': 1, 'negative': 0, 'total': 97}
1689105882 2127205144 {'positive': 1, 'negative': 0, 'total': 5}
1648490255 1362766720 {'positive': 1, 'negative': 0, 'total': 10}
1654784075 1362766720 {'positive': 0, 'negative': 1, 'total': 55}
1648645447 1762006764 {'positive': 1, 'negative': 0, 'total': 20}
1648608662 1495052422 {'positive': 1, 'negative': 0, 'total': 6}
1807998083 2125025817 {'positive': 0, 'negative': 1, 'total': 38}
1690832881 2125025817 {'positive': 1, 'negative': 0, 'total': 31}
1807981562 1433655842 {'positive': 1, 'negative': 0, 'total': 11}
1648529607 1433655842 {'positive': 0, 'negative': 1, 'total': 13}
1807994670 1433655842 {'positive': 1, 'negative': 0, 'total': 12}
1808814424 1433655842 {'positive': 0, 'negative': 1, 'total': 28}
1820011343 1433655842 {'positive': 1, 'negative': 0, 'total': 39}
1820034563 1433655842 {'positive': 0, 'negative': 2, 'total': 39}
1648712513 1376371460 {'positive': 1, 'negative': 0, 'total': 10}
1648490543 1757128147 {'positive': 0, 'negative': 1, 'total': 19}
1654762224 1757128147 {'positive': 1, 'negative': 0, 'total': 61}
1690886970 1757128147 {'positive': 1, 'negative': 0, 'total': 17}
1648607487 1828158947 {'positive': 1, 'negative': 0, 'total': 17}
1807984084 2204366064 {'positive': 1, 'negative': 0, 'total': 15}
1808036420 2204366064 {'positive': 1, 'negative': 0, 'total': 12}
1808805684 2204366064 {'positive': 1, 'negative': 0, 'total': 13}
1808856364 2204366064 {'positive': 1, 'negative': 0, 'total': 22}
1807948860 2204366064 {'positive': 1, 'negative': 0, 'total': 11}
1808036184 2204366064 {'positive': 1, 'negative': 0, 'total': 7}
1819888707 2204366064 {'positive': 0, 'negative': 1, 'total': 36}
1654695707 2204366064 {'positive': 1, 'negative': 0, 'total': 73}
1654682885 2204366064 {'positive': 1, 'negative': 0, 'total': 65}
1807960410 2719150250 {'positive': 1, 'negative': 0, 'total': 14}
1819066093 2719150250 {'positive': 1, 'negative': 0, 'total': 41}
1654676623 2719150250 {'positive': 1, 'negative': 0, 'total': 316}
1654728350 2719150250 {'positive': 1, 'negative': 0, 'total': 91}
1690727434 2719150250 {'positive': 1, 'negative': 0, 'total': 24}
1807951980 2710514047 {'positive': 1, 'negative': 0, 'total': 10}
1807963740 2710514047 {'positive': 1, 'negative': 0, 'total': 21}
1807999057 2710514047 {'positive': 1, 'negative': 0, 'total': 22}
1688979394 2710514047 {'positive': 1, 'negative': 0, 'total': 13}
1689026351 2710514047 {'positive': 1, 'negative': 0, 'total': 26}
1690716165 2710514047 {'positive': 1, 'negative': 0, 'total': 17}
1690741145 2710514047 {'positive': 1, 'negative': 0, 'total': 20}
1692766093 2710514047 {'positive': 1, 'negative': 0, 'total': 21}
1648496407 1769269147 {'positive': 1, 'negative': 0, 'total': 26}
1819063165 1769269147 {'positive': 1, 'negative': 0, 'total': 91}
1648481877 2296527090 {'positive': 1, 'negative': 0, 'total': 15}
1807972962 2486626322 {'positive': 1, 'negative': 0, 'total': 33}
1808036420 1044256885 {'positive': 1, 'negative': 0, 'total': 12}
1820008570 1044256885 {'positive': 0, 'negative': 1, 'total': 11}
1807935115 1721768031 {'positive': 0, 'negative': 1, 'total': 28}
1648454377 1721768031 {'positive': 0, 'negative': 1, 'total': 30}
1648541970 1721768031 {'positive': 0, 'negative': 1, 'total': 31}
1648700972 1721768031 {'positive': 0, 'negative': 1, 'total': 56}
1648723144 1721768031 {'positive': 0, 'negative': 1, 'total': 30}
1648736703 1721768031 {'positive': 0, 'negative': 1, 'total': 18}
1808828564 1721768031 {'positive': 1, 'negative': 0, 'total': 20}
1654676623 1721768031 {'positive': 1, 'negative': 0, 'total': 316}
1654792913 1721768031 {'positive': 1, 'negative': 0, 'total': 88}
1688947942 1721768031 {'positive': 0, 'negative': 1, 'total': 11}
1688991044 1721768031 {'positive': 1, 'negative': 0, 'total': 20}
1690743435 1721768031 {'positive': 1, 'negative': 0, 'total': 5}
1690912131 1721768031 {'positive': 1, 'negative': 0, 'total': 36}
1648449967 1271542887 {'positive': 0, 'negative': 1, 'total': 10}
1648776077 1828450227 {'positive': 4, 'negative': 0, 'total': 11}
1689156453 1828450227 {'positive': 1, 'negative': 0, 'total': 5}
1692845711 1828450227 {'positive': 1, 'negative': 0, 'total': 4}
1808795890 1663925902 {'positive': 1, 'negative': 0, 'total': 5}
1808828564 1663925902 {'positive': 1, 'negative': 0, 'total': 20}
1808062143 1922336783 {'positive': 0, 'negative': 1, 'total': 15}
1808810320 1922336783 {'positive': 1, 'negative': 0, 'total': 25}
1808839250 2396641030 {'positive': 1, 'negative': 0, 'total': 34}
1648641505 1540274070 {'positive': 1, 'negative': 1, 'total': 33}
1654742490 1540274070 {'positive': 1, 'negative': 0, 'total': 46}
1807992172 2092240825 {'positive': 1, 'negative': 0, 'total': 45}
1808008002 2092240825 {'positive': 1, 'negative': 0, 'total': 12}
1820036205 2092240825 {'positive': 1, 'negative': 0, 'total': 50}
1648645447 1802438233 {'positive': 1, 'negative': 0, 'total': 20}
1648650097 1893449713 {'positive': 1, 'negative': 0, 'total': 27}
1648680984 1819514351 {'positive': 1, 'negative': 0, 'total': 21}
1808780990 1199581807 {'positive': 1, 'negative': 0, 'total': 5}
1648725433 1199581807 {'positive': 1, 'negative': 0, 'total': 12}
1819152597 1199581807 {'positive': 0, 'negative': 1, 'total': 107}
1819943243 1199581807 {'positive': 1, 'negative': 0, 'total': 7}
1819958377 1199581807 {'positive': 1, 'negative': 0, 'total': 40}
1648526251 2209078444 {'positive': 1, 'negative': 0, 'total': 10}
1808042090 2209078444 {'positive': 0, 'negative': 1, 'total': 5}
1819069217 2209078444 {'positive': 1, 'negative': 0, 'total': 33}
1654734832 2209078444 {'positive': 1, 'negative': 0, 'total': 20}
1648640035 2781105632 {'positive': 0, 'negative': 1, 'total': 4}
1648701560 2781105632 {'positive': 1, 'negative': 0, 'total': 26}
1808831860 2781105632 {'positive': 1, 'negative': 0, 'total': 34}
1819086833 2781105632 {'positive': 0, 'negative': 1, 'total': 44}
1819943590 2781105632 {'positive': 1, 'negative': 0, 'total': 86}
1654838353 2781105632 {'positive': 1, 'negative': 0, 'total': 62}
1648767512 2038244150 {'positive': 0, 'negative': 1, 'total': 20}
1648495155 1596329427 {'positive': 1, 'negative': 0, 'total': 19}
1654793181 1596329427 {'positive': 1, 'negative': 0, 'total': 83}
1820012364 1596329427 {'positive': 1, 'negative': 0, 'total': 81}
1654821835 1596329427 {'positive': 1, 'negative': 0, 'total': 40}
1654795904 1596329427 {'positive': 0, 'negative': 1, 'total': 92}
1819941633 1596329427 {'positive': 1, 'negative': 0, 'total': 150}
1690992305 1596329427 {'positive': 1, 'negative': 2, 'total': 22}
1692778433 1596329427 {'positive': 0, 'negative': 1, 'total': 10}
1648246025 1809745371 {'positive': 14, 'negative': 2, 'total': 19}
1807958282 1881159861 {'positive': 1, 'negative': 0, 'total': 24}
1654758100 1881159861 {'positive': 1, 'negative': 0, 'total': 69}
1654829870 1881159861 {'positive': 1, 'negative': 0, 'total': 68}
1654707807 1881159861 {'positive': 1, 'negative': 0, 'total': 56}
1689001851 1881159861 {'positive': 1, 'negative': 0, 'total': 30}
1648703122 1649968352 {'positive': 1, 'negative': 0, 'total': 20}
1648752055 1194783805 {'positive': 0, 'negative': 1, 'total': 24}
1808825460 1194783805 {'positive': 1, 'negative': 0, 'total': 11}
1648752284 1787532275 {'positive': 1, 'negative': 0, 'total': 12}
1808061480 1787532275 {'positive': 1, 'negative': 0, 'total': 17}
1819946751 1787532275 {'positive': 1, 'negative': 0, 'total': 28}
1654878765 1787532275 {'positive': 1, 'negative': 0, 'total': 68}
1807992530 1646582507 {'positive': 1, 'negative': 0, 'total': 37}
1648740202 1646582507 {'positive': 1, 'negative': 0, 'total': 10}
1648465222 2162779082 {'positive': 0, 'negative': 1, 'total': 37}
1648424243 1450409871 {'positive': 1, 'negative': 0, 'total': 13}
1808781792 1450409871 {'positive': 0, 'negative': 1, 'total': 34}
1819030741 1450409871 {'positive': 1, 'negative': 0, 'total': 46}
